hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
888197,VN-A511,VN,15.57,108.6,10066,329,863,0.3,,1562,HVN1562,VN1562,VVCR,CXR,VVNB,HAN,HVN,VN,A21N,1687168579,en-route
890021,7O-AFB,YE,13.57,51.86,7780,114,935,2.9,,427,IYE427,IY427,OYRN,RIY,OYSQ,SCT,IYE,IY,A320,1687168579,en-route
890022,7O-AFC,YE,20.87,39.34,10050,169,868,0,,609,IYE609,IY609,HECA,CAI,OYAA,ADE,IYE,IY,A320,1687168579,en-route
890028,7O-AFE,YE,30.306885,36.245621,8983,170,822,,7610,647,IYE647,IY647,,,,,IYE,IY,A332,1687168555,en-route
894095,A9C-TB,BH,37.628872,25.064949,8084,119,863,,7413,945,GFA945,GF945,LGAV,ATH,OBBI,BAH,GFA,GF,A20N,1687168555,en-route
894097,A9C-FF,BH,38.691681,36.203869,10972,308,920,,2221,3,GFA3,GF3,OBBI,BAH,EGLL,LHR,GFA,GF,B789,1687168487,en-route
896116,A6-ECO,AE,-33.966454,18.597162,0,258,5,,6345,772,UAE772,EK772,OMDB,DXB,FACT,CPT,UAE,EK,B77W,1687167112,en-route
896173,A6-EWA,AE,42.491272,-4.058262,10058,280,881,,0454,255,UAE255,EK255,OMDB,DXB,MMMX,MEX,UAE,EK,B77L,1687168558,en-route
896178,A6-EWF,AE,43.05,-38.08,11277,79,1031,0,,256,UAE256,EK256,MMMX,MEX,LEBL,BCN,UAE,EK,B77L,1687168579,en-route
896197,A6-EEX,AE,22.315851,113.90741,0,84,14,,0726,384,UAE384,EK384,OMDB,DXB,VHHH,HKG,UAE,EK,A388,1687168551,en-route
896214,A6-EGS,AE,31.134018,33.289703,10668,151,892,,3355,958,UAE958,EK958,OLBA,BEY,OMDB,DXB,UAE,EK,B77W,1687168556,en-route
896215,A6-EGT,AE,40.999512,36.487732,10363,289,835,,2362,111,UAE6H,EK111,OMDB,DXB,LHBP,BUD,UAE,EK,B77W,1687168326,en-route
896309,A6-ENG,AE,52.313171,4.759356,0,357,0,,3175,146,UAE2W,EK146,EHAM,AMS,OMDB,DXB,UAE,EK,B77W,1687168558,landed
896334,A6-FEC,AE,25.789124,53.914185,6728,111,687,,2274,82,FDB82,FZ82,OBBI,BAH,OMDB,DXB,FDB,FZ,B738,1687168556,en-route
896409,A6-BLD,AE,40.943298,36.496277,10363,290,868,,3272,131,ETD19G,EY131,OMAA,AUH,KIAD,IAD,ETD,EY,B789,1687168020,en-route
896451,A6-EQB,AE,42.50182,29.7939,9753,306,561,,3260,235,UAE3U,EK235,OMDB,DXB,KORD,ORD,UAE,EK,B77W,1687168558,en-route
896454,A6-EQE,AE,55.570522,54.182941,10972,195,920,,1236,230,UAE93Q,EK230,KSEA,SEA,OMDB,DXB,UAE,EK,B77W,1687168549,en-route
896455,A6-EQF,AE,30.343048,33.782475,10972,332,929,,0535,209,UAE209,EK209,OMDB,DXB,KEWR,EWR,UAE,EK,B77W,1687168557,en-route
896473,A6-EUI,AE,43.745743,28.484867,10363,311,924,,3266,211,UAE211,EK211,OMDB,DXB,KIAH,IAH,UAE,EK,A388,1687168557,en-route
896475,A6-EUK,AE,-13.61,-1.87,10668,55,924,0,,262,UAE262,EK262,SBGR,GRU,OMDB,DXB,UAE,EK,A388,1687168579,en-route
896485,A6-AON,AE,26.291245,55.877865,5935,45,751,,1766,465,ABY465,G9465,OMSJ,SHJ,VIDP,DEL,ABY,G9,A320,1687168554,en-route
896486,A6-AOO,AE,34.27853,58.320042,11277,17,850,,3412,205,ABY205,G9205,OMSJ,SHJ,OIMM,MHD,ABY,G9,A320,1687168487,en-route
896496,A6-AOP,AE,26.499435,55.367413,7955,309,829,,1765,293,ABY293,G9293,OMSJ,SHJ,UGTB,TBS,ABY,G9,A320,1687168548,en-route
896512,A6-FMG,AE,34.87,48.15,11582,324,814,-0.3,,74U,FDB74U,FZ727,OMDB,DXB,LTFM,IST,FDB,FZ,B38M,1687168579,en-route
896513,A6-FMF,AE,22.94,55.98,11582,360,859,0,,1260,FDB1260,FZ1260,HTZA,ZNZ,OMDB,DXB,FDB,FZ,B38M,1687168579,en-route
896517,A6-FMH,AE,18.57,42.73,6294,350,698,6.8,,816,FDB816,FZ816,OEAB,AHB,OMDB,DXB,FDB,FZ,B38M,1687168579,en-route
896532,A6-FMM,AE,40.153679,40.564331,10363,292,772,,6351,1797,FDB1797,FZ1797,OMDB,DXB,LROP,OTP,FDB,FZ,B38M,1687168385,en-route
896596,A6-XWA,AE,57.65,-58.98,11582,235,907,0,,93C,ETD93C,EY151,OMAA,AUH,KORD,ORD,ETD,EY,A35K,1687168579,en-route
898008,P2-PXC,PG,3.19,132.15,10972,317,857,0,,10,ANG10,PX10,AYPY,POM,RPLL,MNL,ANG,PX,B738,1687168579,en-route
899013,B-18903,TW,48.98,-134.96,10972,297,837,0,,23,CAL23,CI23,KONT,ONT,RCTP,TPE,CAL,CI,A359,1687168579,en-route
