hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
142584,RA-09604,RU,40.137432,33.270283,12192,260,790,0,2142,9001,NWC9001,0E9001,UUWW,VKO,LTBA,ISL,NWC,0E,FA7X,1686815250,en-route
152024,RA-73764,RU,52.652721,44.061848,10972,171,809,-0.3,2171,1366,AFL1366,SU1366,UUEE,SVO,URMT,STW,AFL,SU,A320,1686815251,en-route
152038,RA-73784,RU,48.086151,45.519104,11582,153,842,0.3,2732,426,AFL426,SU426,UUEE,SVO,HESH,SSH,AFL,SU,A333,1686815251,en-route
152039,RA-73785,RU,47.617725,45.867989,11582,154,838,0.3,2134,1116,AFL1116,SU1116,UUEE,SVO,URSS,AER,AFL,SU,A333,1686815097,en-route
152042,RA-73794,RU,46.325638,47.417126,11269,303,842,0.3,2401,172,SVR172,U6172,URSS,AER,UUDD,DME,SVR,U6,A321,1686814597,en-route
152053,RA-73811,RU,56.829483,51.38134,11582,266,755,-0.3,5504,274,SVR274,U6274,USSS,SVX,UUDD,DME,SVR,U6,A319,1686815248,en-route
152057,RA-73815,RU,43.513912,49.878258,11590,248,735,0.3,0225,2560,SVR2560,U62560,UAFM,FRU,URMG,GRV,SVR,U6,A319,1686815254,en-route
152058,RA-73816,RU,52.941673,57.337727,11894,26,874,0,1021,252,SVR252,U6252,URMM,MRV,USSS,SVX,SVR,U6,A319,1686815146,en-route
152059,RA-73817,RU,43.905884,48.104095,11277,91,859,0,6167,164,SVR164,U6164,URSS,AER,UWWW,KUF,SVR,U6,A320,1686815253,en-route
152060,RA-73824,RU,46.294922,47.484787,11269,303,833,0,2425,162,SVR162,U6162,URML,MCX,UUDD,DME,SVR,U6,A320,1686815253,en-route
152068,RA-73832,RU,46.335663,78.701904,11285,35,859,0.3,0215,2940,SVR2940,U62940,UAFM,FRU,UNKL,KJA,SVR,U6,A320,1686815252,en-route
300611,I-PSCU,IT,43.423138,7.350311,914,266,379,0,1000,703,SLJ703,,LIRN,NAP,LFMN,NCE,SLJ,,BE40,1686815256,en-route
300624,I-DADK,IT,42.01442,12.530163,632,235,194,0.7,2000,,,,,QIU,,,,,DV20,1686815255,en-route
300681,I-DADF,IT,42.396057,12.404251,792,171,220,-0.7,2000,,,,,QIU,,,,,DV20,1686815248,en-route
300773,I-AMOM,IT,42.214508,11.821039,944,274,251,-0.3,2000,,,,,,,,,,P28U,1686815252,en-route
300795,I-OZZD,IT,44.471375,11.540157,182,30,135,3.9,7000,,,,,,,,,,P208,1686815247,en-route
300843,I-ZAPA,IT,45.756615,8.955849,899,4,131,0.3,7000,,,,,QIV,,,,,C150,1686815252,en-route
300860,I-OZZM,IT,45.448715,10.397488,548,73,181,-0.7,7000,,,,LIPO,VBS,,,,,P208,1686815254,en-route
300881,I-GDSL,IT,44.799965,10.625722,289,136,183,-0.3,4611,,,,,,,,,,RV12,1686815253,en-route
320004,MM62249,,46.054733,9.092681,7315,340,596,0,7530,,,,LIML,LIN,ELLX,LUX,,,P180,1686815255,en-route
320050,VF-149,,45.137653,12.329675,99,108,11,-0.3,6250,,,,LIPZ,VCE,,,,,A139,1686815254,en-route
341682,EC-ILQ,ES,40.320786,-3.410583,1158,324,398,-0.3,5165,3947,IBS3947,IB3947,LEZL,SVQ,LEMD,MAD,IBS,IB,A320,1686815256,en-route
342059,EC-ILP,ES,41.000427,-4.210938,5943,183,640,-4.6,5172,423,IBE423,IB423,LEBB,BIO,LEMD,MAD,IBE,IB,A321,1686815256,en-route
342090,EC-ILR,ES,40.5051,-3.699209,3611,182,650,5.2,3755,3832,IBS3832,IB3832,LEMD,MAD,GCLP,LPA,IBS,IB,A320,1686815256,en-route
342106,EC-JEI,ES,37.617599,-5.634876,8534,25,746,0,6006,4GP,IBE04GP,IB415,LEJR,XRY,LEMD,MAD,IBE,IB,A319,1686815256,en-route
342107,EC-JDM,ES,33.388474,-12.958206,10668,207,822,0,2665,3942,IBS3942,IB3942,LEMD,MAD,GCXO,TFN,IBS,IB,A321,1686815253,en-route
342108,EC-JDL,ES,43.494453,1.091897,10363,52,803,0,1000,31DT,IBE31DT,IB3190,LEMD,MAD,EDDM,MUC,IBE,IB,A319,1686815254,en-route
342189,EC-JEJ,ES,36.969727,-7.480638,10363,49,863,0,6215,39NQ,IBS39NQ,IB3945,GCXO,TFN,LEMD,MAD,IBS,IB,A321,1686815256,en-route
342294,EC-JIL,ES,40.460415,-3.565308,0,185,3,0,0435,115,MGO115,,LEBL,BCN,LEMD,MAD,MGO,,GLEX,1686815256,landed
342397,EC-JTQ,ES,40.008575,0.238266,10187,228,822,8.5,0447,80BU,VLG80BU,VY2212,LEBL,BCN,LEZL,SVQ,VLG,VY,A320,1686815254,en-route
342592,EC-KJD,ES,41.870911,2.451262,4305,193,705,-6.2,2134,48DA,VLG48DA,VY8308,EHAM,AMS,LEBL,BCN,VLG,VY,A320,1686815255,en-route
343046,EC-KLB,ES,48.44342,2.460432,4312,183,683,11.7,7601,9MX,VLG9MX,VY8153,LFPO,ORY,LEVC,VLC,VLG,VY,A320,1686815256,en-route
343358,EC-LAE,ES,40.26059,-8.076233,4572,236,731,-7.8,3745,231E,GES231E,,LEBB,BIO,,,GES,GP*,GALX,1686815256,en-route
343385,EC-LAA,ES,40.494827,-4.610718,6697,236,746,8.5,3754,39AZ,IBS39AZ,IB3934,LEMD,MAD,GCXO,TFN,IBS,IB,A320,1686815257,en-route
343517,EC-LJN,ES,41.366039,2.038276,830,331,337,11.7,4462,2,ICC2,,LEBL,BCN,LEBL,BCN,ICC,,BE20,1686815256,en-route
343552,EC-LGF,ES,28.185104,-15.616432,2385,302,398,2.6,6347,382J,IBB382J,NT105,GCLP,LPA,GCXO,TFN,IBB,NT,AT75,1686815253,en-route
344099,EC-LLJ,ES,41.608482,1.441764,4617,99,659,-7.5,5062,7QD,VLG7QD,VY1703,LEVX,VGO,LEBL,BCN,VLG,VY,A320,1686815246,en-route
344157,EC-LOC,ES,45.396996,1.439544,10675,172,961,0,7712,4LY,VLG4LY,VY6008,EGKK,LGW,LEBL,BCN,VLG,VY,A320,1686815256,en-route
344216,EC-LPR,ES,36.288631,-8.424351,11582,47,864,0,6264,9045,AEA9045,UX9045,GCXO,TFN,LEMD,MAD,AEA,UX,B738,1686815256,en-route
344305,EC-LUK,ES,50.012146,-1.536929,8869,19,859,-9.8,5336,31HW,IBE31HW,IB3162,LEMD,MAD,EGLL,LHR,IBE,IB,A333,1686815255,en-route
344344,EC-LUX,ES,-19.775848,-44.151112,11582,217,853,0,2576,6827,IBE6827,IB6827,LEMD,MAD,SBGR,GRU,IBE,IB,A333,1686815251,en-route
344416,EC-LUS,ES,39.50592,0.740801,9448,276,759,1,0452,3913,IBS3913,IB3913,LEPA,PMI,LEMD,MAD,IBS,IB,A320,1686815257,en-route
344417,EC-LUL,ES,40.299683,-3.298706,1760,232,468,0,3757,31KV,IBE31KV,IB3137,EDDL,DUS,LEMD,MAD,IBE,IB,A320,1686815257,en-route
344446,EC-LUT,ES,51.145477,-0.209557,15,77,275,-4.6,5332,98RN,AEA98RN,UX1013,LEMD,MAD,EGKK,LGW,AEA,UX,B738,1686815256,en-route
344449,EC-LVD,ES,45.17215,-0.623139,10980,25,796,0.3,1000,31EP,IBE31EP,IB3140,LEMD,MAD,EDDL,DUS,IBE,IB,A320,1686815255,en-route
344459,EC-LVR,ES,39.598778,2.853638,0,239,203,0,4451,4008,AEA4008,UX4008,LEPA,PMI,,,AEA,UX,B738,1686814727,en-route
344487,EC-LXV,ES,40.47401,-3.56778,0,160,18,0,5156,7311,AEA7311,UX7311,LEVX,VGO,LEMD,MAD,AEA,UX,B738,1686815256,en-route
344496,EC-LLE,ES,40.499428,-3.561676,0,87,7,0,5076,39FE,IBS39FE,IB3924,LEMD,MAD,LEPA,PMI,IBS,IB,A320,1686815253,en-route
344501,EC-MBT,ES,50.983871,-0.176926,2438,283,455,0,7461,585U,VLG585U,VY6614,LEMG,AGP,EGKK,LGW,VLG,VY,A320,1686815256,en-route
344545,EC-MAF,ES,40.498707,-3.582199,0,272,12,0,2000,102,SWT102,WT102,LEMD,MAD,LEPA,PMI,SWT,WT,AT75,1686814641,en-route
344557,EC-MCU,ES,45.495907,12.336551,0,219,20,0,0265,8XE,VLG8XE,VY6401,LIPZ,VCE,LEBL,BCN,VLG,VY,A320,1686815255,en-route
344647,EC-MEC,ES,40.488659,-3.564767,0,90,48,0,5303,561,SWT561,WT561,LEMD,MAD,LZIB,BTS,SWT,WT,AT75,1686815256,en-route
344648,EC-MDK,ES,41.814743,-6.127874,9144,134,827,0,5177,519,IBE519,IB519,LECO,LCG,LEMD,MAD,IBE,IB,A320,1686815256,en-route
344692,EC-MER,ES,38.723648,1.591764,8343,73,831,-9.4,5065,16MJ,VLG16MJ,VY3941,LEZL,SVQ,LEPA,PMI,VLG,VY,A320,1686815254,en-route
344694,EC-MFK,ES,41.225777,1.679847,4244,294,698,20.5,0441,9BP,VLG9BP,VY1422,LEBL,BCN,LEBB,BIO,VLG,VY,A320,1686815255,en-route
344696,EC-MFM,ES,36.748993,-4.266987,10972,49,868,0,6266,5SB,VLG5SB,VY3001,GCLP,LPA,LEBL,BCN,VLG,VY,A320,1686815255,en-route
344697,EC-MFN,ES,40.261402,-0.181212,7322,197,848,-10.7,2123,6WF,VLG6WF,VY8352,EHAM,AMS,LEVC,VLC,VLG,VY,A320,1686815255,en-route
344698,EC-MGE,ES,36.900887,-4.814818,1706,146,461,-3.6,2116,3DH,VLG3DH,VY8364,EHAM,AMS,LEMG,AGP,VLG,VY,A320,1686815256,en-route
345051,EC-MEG,ES,37.842178,-6.16631,9144,50,905,0,6250,38FW,IBS38FW,IB3859,GCRR,ACE,LEMD,MAD,IBS,IB,A320,1686815255,en-route
345052,EC-MEH,ES,46.337219,-2.565107,10972,9,779,0.3,5320,3714,IBS3714,IB3714,LEMD,MAD,EGKK,LGW,IBS,IB,A320,1686815255,en-route
345084,EC-MGF,ES,51.010437,-0.422157,1371,293,435,-2.9,7534,42QZ,VLG42QZ,VY6204,LIRQ,FLR,EGKK,LGW,VLG,VY,A319,1686815256,en-route
345102,EC-MIQ,ES,40.488377,-3.588207,0,356,40,0,4057,9GH,VLG9GH,VY1500,LIRQ,FLR,LEMD,MAD,VLG,VY,A319,1686815256,en-route
345107,EC-MJC,ES,41.122711,2.165181,2766,91,553,14.6,5536,836M,VLG836M,VY6108,LEBL,BCN,LIRF,FCO,VLG,VY,A320,1686815256,en-route
345109,EC-MKI,ES,30.044291,-39.259811,10972,60,896,0,5411,6460,IBE6460,IB6460,SEGU,GYE,LEMD,MAD,IBE,IB,A332,1686815146,en-route
345206,EC-MLE,ES,41.449646,-6.759785,9532,84,872,8.1,4423,8UK,VLG8UK,VY8477,LPPR,OPO,LEBL,BCN,VLG,VY,A320,1686815256,en-route
345215,EC-MJU,ES,28.481644,-16.338467,0,291,298,0,2654,9059,AEA9059,UX9059,LEMD,MAD,GCXO,TFN,AEA,UX,B738,1686815206,en-route
345218,EC-MKL,ES,40.391052,-3.480957,1043,323,298,-4.9,6234,9018,AEA9018,UX9018,GCLP,LPA,LEMD,MAD,AEA,UX,B738,1686815257,en-route
345248,EC-MMH,ES,30.660654,-12.239648,10683,217,800,0,0424,2LR,VLG2LR,VY3210,LEBL,BCN,GCXO,TFN,VLG,VY,A321,1686815255,en-route
345250,EC-MLC,ES,40.581306,0.370664,7315,72,731,0,4460,44KV,ANE44KV,IB8377,LEVC,VLC,LEBL,BCN,IBE,IB,CRJX,1686815255,en-route
345251,EC-MLT,ES,-10.701335,-41.983528,12192,227,859,-0.3,2003,23,AEA23,UX23,LEMD,MAD,SGAS,ASU,AEA,UX,B788,1686815257,en-route
345299,EC-MMX,ES,36.8251,-7.729992,12184,47,937,0,6252,84,AEA84,UX84,SBSV,SSA,LEMD,MAD,AEA,UX,B788,1686815256,en-route
345313,EC-MOG,ES,39.777603,-0.01642,11285,232,800,-0.3,0446,67BB,VLG67BB,VY2111,LEBL,BCN,LEMG,AGP,VLG,VY,A320,1686815254,en-route
345314,EC-MOO,ES,41.419716,-2.571376,10058,205,816,0,7655,62WK,VLG62WK,VY8558,LFPO,ORY,LEMG,AGP,VLG,VY,A321,1686815256,en-route
345318,EC-MOU,ES,8.895651,-27.116657,11277,29,887,0,3545,6844,IBE6844,IB6844,SAEZ,EZE,LEMD,MAD,IBE,IB,A332,1686815146,en-route
345344,EC-MOL,ES,28.895828,-14.637169,3649,263,479,0.7,6334,2JQ,RSC2JQ,NT453,GCRR,ACE,GCXO,TFN,IBB,NT,AT76,1686815255,en-route
345352,EC-MPE,ES,39.481613,-6.997575,12192,55,920,0,3352,24,AEA24,UX24,SGAS,ASU,LEMD,MAD,AEA,UX,B788,1686815256,en-route
345359,EC-MPV,ES,52.722748,6.256638,10675,46,820,-0.3,5566,8T,VLG8T,VY1820,LEBL,BCN,EDDH,HAM,VLG,VY,A321,1686815255,en-route
345389,EC-MPI,ES,28.19751,-14.673245,3040,227,487,0.7,6317,97YA,RSC97YA,NT501,GCRR,ACE,GCLP,LPA,IBB,NT,AT76,1686815255,en-route
345611,EC-MTL,ES,45.489731,12.332019,45,41,216,-2.6,5513,1495,VOE1495,V71495,LGZA,ZTH,LIPZ,VCE,VOE,V7,A319,1686815255,en-route
345612,EC-MTM,ES,36.677624,-4.49766,0,309,0,0,4654,72QR,VOE72QR,V72097,LEMG,AGP,LFQQ,LIL,VOE,V7,A319,1686815249,landed
345617,EC-MTV,ES,45.508495,12.33951,0,132,0,0,0271,7411,LAV7411,AP7411,LIPZ,VCE,LFBT,LDE,LAV,AP,B738,1686815252,landed
345646,EC-MYC,ES,47.392132,8.3513,2110,236,524,19.5,3070,6VZ,VLG6VZ,VY1389,LSZH,ZRH,LEAL,ALC,VLG,VY,A320,1686815256,en-route
345685,EC-MUF,ES,41.728355,-2.397766,8877,202,824,-16.9,1112,36ZN,IBS36ZN,IB3673,EDDB,BER,LEMD,MAD,IBS,IB,A320,1686815253,en-route
345686,EC-MUK,ES,37.419575,-6.810867,9144,50,822,0,4472,39XH,IBS39XH,IB3903,GCFV,FUE,LEMD,MAD,IBS,IB,A320,1686815256,en-route
